act,character,degree,betweenness,eigenvector
1,DAL.,0.6666666666666666,0.0,0.3926648892231719
1,DOL.,0.6666666666666666,0.0,0.3926648892231719
1,Dol.,0.6666666666666666,0.0,0.3926648892231719
1,FAC.,1.0,0.23333333333333334,0.4719930349594865
1,SVB.,1.0,0.23333333333333334,0.4719930349594865
1,DAP.,0.3333333333333333,0.0,0.21434552037951288
1,DRV.,0.3333333333333333,0.0,0.21434552037951288
2,ANA,0.4444444444444444,0.0,0.28281649611514326
2,ANA.,0.4444444444444444,0.0,0.28281649611514326
2,FAC.,1.0,0.29166666666666663,0.45701382503408033
2,SVB.,0.8888888888888888,0.18981481481481477,0.4244566894325358
2,SVR.,0.7777777777777777,0.08333333333333333,0.4087095541496703
2,DOL.,0.2222222222222222,0.0,0.15848405925708325
2,DRV.,0.2222222222222222,0.0,0.15848405925708325
2,FAC,0.3333333333333333,0.0,0.21363775562456996
2,MAM.,0.5555555555555556,0.018518518518518517,0.32251015800333244
2,SVr.,0.4444444444444444,0.0,0.2899530224017877
3,ANA.,0.2222222222222222,0.0,0.049815035449968924
3,SVB.,0.5555555555555556,0.38888888888888884,0.21719349684636752
3,TRI.,0.2222222222222222,0.0,0.049815035449968924
3,DAP.,0.7777777777777777,0.2222222222222222,0.43150559247090253
3,DOL.,0.3333333333333333,0.0,0.2015282006321772
3,DRV.,0.5555555555555556,0.0,0.3656692976914084
3,FAC,0.5555555555555556,0.0,0.3656692976914084
3,FAC.,0.7777777777777777,0.2222222222222222,0.4315055924709025
3,KAS.,0.5555555555555556,0.0,0.3656692976914084
3,"ГЈв‚¬Л†ГўвЂ”Е ГЈв‚¬вЂ°
        .",0.5555555555555556,0.0,0.3656692976914084
4,"(
        SVB.",0.5,0.0,0.25627438079507264
4,ANA.,0.5,0.0,0.25627438079507264
4,DOL.,0.75,0.07916666666666666,0.30849182324082214
4,DRV.,0.5,0.0,0.25627438079507264
4,FAC.,1.0,0.21625,0.3698854265071145
4,KAS.,0.6875,0.03291666666666667,0.3053692764472615
4,"SVB
        ,",0.5,0.0,0.25627438079507264
4,SVB.,0.9375,0.15374999999999997,0.3600178730102595
4,SVR.,0.75,0.05375,0.31766798406136504
4,DOL,0.25,0.0,0.10344051201927423
4,MAM,0.375,0.004166666666666667,0.1512725902654094
4,MAM.,0.375,0.004166666666666667,0.1512725902654094
4,SVB,0.3125,0.0,0.1414050367685544
4,FAC,0.375,0.004166666666666667,0.1750520995158373
4,PLI.,0.375,0.0016666666666666668,0.17815508090168064
4,"SVB.
        .",0.25,0.0,0.12892765513378862
4,PLI,0.3125,0.0,0.16145647563793172
5,"(
        FAC.",0.52,0.0,0.20902233149162391
5,ANA.,0.6,0.005066137566137567,0.22596755874979588
5,DAP.,0.6,0.016216931216931223,0.22198254202109308
5,FAC.,0.84,0.08538359788359785,0.27023349754113446
5,KAS.,0.6,0.005066137566137567,0.22596755874979585
5,LOV.,0.96,0.12554232804232807,0.29252737010036123
5,MAM,0.52,0.0,0.20902233149162391
5,MAM.,0.6,0.005066137566137567,0.22596755874979588
5,"NEI.
        1.",0.88,0.07619047619047621,0.27558214284218935
5,"NEI.
        2.",0.88,0.07619047619047621,0.27558214284218935
5,"NEI.
        3.",0.88,0.07619047619047621,0.27558214284218935
5,SVB.,0.6,0.016216931216931223,0.2219825420210931
5,SVR.,0.6,0.005066137566137567,0.22596755874979588
5,TRI.,0.6,0.005066137566137567,0.22596755874979588
5,DRV.,0.32,0.0,0.1215750498701975
5,OFF.,0.44,0.00845238095238095,0.15254943932624435
5,DOL.,0.16,0.0,0.05710916342775968
5,Fac.,0.36,0.0,0.12662997619322675
5,Lov.,0.36,0.0,0.12662997619322675
5,"MEI.
        1.",0.36,0.0,0.12662997619322675
5,"NEI.
        1.2.4
        .",0.36,0.0,0.12662997619322675
5,"NEI.
        4.",0.52,0.014285714285714287,0.15245409443513108
5,NEI.,0.32,0.0,0.10443784152911738
5,"NEI.
        5",0.32,0.0,0.10443784152911738
5,"NEI.
        5.",0.32,0.0,0.10443784152911738
5,"NEI.
        6.",0.32,0.0,0.10443784152911738
